iter	Passed	Remaining
751	3099	1022
752	3103	1018
753	3107	1013
754	3110	1009
755	3113	1004
756	3117	1000
757	3121	996
758	3124	992
759	3127	987
760	3131	983
761	3134	979
762	3138	974
763	3141	970
764	3144	966
765	3148	961
766	3151	957
767	3154	953
768	3158	948
769	3161	944
770	3165	940
771	3169	936
772	3172	931
773	3175	927
774	3179	923
775	3182	918
776	3186	914
777	3189	910
778	3192	905
779	3196	901
780	3217	902
781	3222	898
782	3227	894
783	3232	890
784	3238	887
785	3245	883
786	3250	879
787	3254	875
788	3259	871
789	3264	867
790	3270	864
791	3276	860
792	3280	856
793	3284	852
794	3288	848
795	3293	844
796	3298	840
797	3303	836
798	3307	831
799	3310	827
800	3314	823
801	3319	819
802	3322	815
803	3326	810
804	3330	806
805	3334	802
806	3338	798
807	3342	794
808	3346	790
809	3351	786
810	3355	781
811	3358	777
812	3362	773
813	3367	769
814	3371	765
815	3376	761
816	3380	757
817	3385	753
818	3389	749
819	3394	745
820	3399	741
821	3403	737
822	3407	732
823	3412	728
824	3416	724
825	3420	720
826	3424	716
827	3429	712
828	3433	708
829	3439	704
830	3444	700
831	3449	696
832	3453	692
833	3458	688
834	3466	684
835	3471	681
836	3476	677
837	3481	673
838	3485	668
839	3490	664
840	3495	660
841	3499	656
842	3504	652
843	3509	648
844	3513	644
845	3516	640
846	3521	636
847	3526	632
848	3529	627
849	3534	623
850	3537	619
851	3541	615
852	3545	610
853	3549	606
854	3552	602
855	3556	598
856	3560	594
857	3564	589
858	3568	585
859	3572	581
860	3576	577
861	3579	573
862	3584	568
863	3587	564
864	3591	560
865	3594	556
866	3598	551
867	3602	547
868	3607	543
869	3610	539
870	3613	535
871	3619	531
872	3624	527
873	3629	523
874	3635	519
875	3640	515
876	3645	511
877	3649	507
878	3654	503
879	3666	500
880	3671	495
881	3676	491
882	3682	487
883	3687	483
884	3691	479
885	3695	475
886	3698	471
887	3702	466
888	3706	462
889	3711	458
890	3715	454
891	3718	450
892	3721	445
893	3725	441
894	3729	437
895	3733	433
896	3736	429
897	3742	425
898	3746	420
899	3751	416
900	3759	413
901	3765	409
902	3771	405
903	3776	401
904	3781	396
905	3786	392
906	3791	388
907	3796	384
908	3801	380
909	3805	376
910	3809	372
911	3813	367
912	3818	363
913	3823	359
914	3827	355
915	3833	351
916	3837	347
917	3842	343
918	3847	339
919	3852	334
920	3856	330
921	3859	326
922	3867	322
923	3871	318
924	3876	314
925	3881	310
926	3886	306
927	3890	301
928	3894	297
929	3898	293
930	3901	289
931	3905	284
932	3909	280
933	3914	276
934	3917	272
935	3920	268
936	3924	263
937	3928	259
938	3932	255
939	3935	251
940	3938	246
941	3942	242
942	3945	238
943	3948	234
944	3951	229
945	3955	225
946	3959	221
947	3962	217
948	3966	213
949	3970	208
950	3974	204
951	3978	200
952	3981	196
953	3985	192
954	3990	188
955	3994	183
956	3997	179
957	4000	175
958	4006	171
959	4011	167
960	4015	162
961	4018	158
962	4022	154
963	4026	150
964	4031	146
965	4035	142
966	4040	137
967	4045	133
968	4050	129
969	4054	125
970	4061	121
971	4065	117
972	4070	112
973	4073	108
974	4077	104
975	4080	100
976	4085	96
977	4088	91
978	4091	87
979	4095	83
980	4098	79
981	4103	75
982	4106	71
983	4110	66
984	4113	62
985	4118	58
986	4121	54
987	4125	50
988	4128	45
989	4132	41
990	4136	37
991	4140	33
992	4144	29
993	4153	25
994	4158	20
995	4165	16
996	4170	12
997	4175	8
998	4181	4
999	4185	0
